app,"app:category","app:subcategory","app:technology","app:risk","app:evasive","app:excessive_bandwidth","app:used_by_malware","app:able_to_transfer_file","app:has_known_vulnerability","app:tunnels_other_application","app:prone_to_misuse","app:pervasive_use","app:is_saas","app:default_ports"
"boldchat-logmein",collaboration,"instant-messaging","browser-based",4,yes,no,no,yes,no,yes,yes,yes,no,"tcp/443,80"
bomberclone,media,gaming,"client-server",1,no,no,no,no,no,no,no,no,no,"udp/11000"
bomgar,networking,"remote-access","client-server",4,yes,no,no,yes,yes,yes,no,no,yes,"tcp/443|tcp/80"
bonpoo,"general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,no,no,no,"tcp/80"
"bosch-rcp-plus","business-systems",management,"client-server",2,no,yes,no,no,yes,no,no,no,no,"tcp/80"
"boxnet-base","general-internet","file-sharing","browser-based",3,yes,yes,no,yes,no,no,yes,no,yes,"tcp/80,443"
"boxnet-consumer-access","general-internet","file-sharing","browser-based",3,no,no,no,no,yes,yes,yes,yes,yes,"tcp/443"
"boxnet-editing","general-internet","file-sharing","browser-based",3,yes,no,no,no,yes,no,no,yes,yes,"tcp/80,443"
"boxnet-enterprise-access","general-internet","file-sharing","browser-based",3,no,no,no,no,yes,yes,yes,yes,yes,"tcp/443"
"boxnet-uploading","general-internet","file-sharing","browser-based",4,yes,yes,no,yes,yes,no,no,yes,yes,"tcp/80,443"
"br-sat-mon",networking,"ip-protocol","network-protocol",1,no,no,no,no,no,no,no,no,no,
brightcloud,"business-systems","general-business","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/80,443"
brightcove,media,"photo-video","browser-based",5,no,yes,yes,yes,yes,no,yes,yes,no,"tcp/80,443"
brighttalk,media,"photo-video","browser-based",3,yes,no,no,no,yes,no,no,yes,no,"tcp/80,443"
browsec,networking,"encrypted-tunnel","browser-based",3,no,yes,no,yes,no,yes,yes,no,no,"tcp/443"
bubbly,collaboration,"social-networking","client-server",1,no,no,no,yes,no,no,no,no,no,"tcp/80,443"
"buddybuddy-base",collaboration,"instant-messaging","client-server",1,no,no,no,no,no,no,no,yes,no,"tcp/dynamic"
"buddybuddy-file-transfer","general-internet","file-sharing","client-server",2,no,yes,no,yes,no,no,no,yes,no,"tcp/dynamic"
